epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,5065.94,1.15874,0.94694,1.39817,0.67646,0.71909,0.71399,0.38699,1.94548,1.43869,2.17488,0.000123905,0.000123905,0.000123905
159,5102.91,1.17472,0.94601,1.40228,0.71332,0.71257,0.72654,0.39094,1.9352,1.40165,2.13759,0.000121152,0.000121152,0.000121152
160,5132.54,1.16802,0.94851,1.40379,0.68003,0.67964,0.70685,0.37918,1.94015,1.38028,2.1467,0.0001184,0.0001184,0.0001184
161,5166.34,1.18388,0.95129,1.40617,0.70431,0.71759,0.71822,0.38987,1.94391,1.40205,2.15113,0.000115648,0.000115648,0.000115648
162,5195.91,1.17313,0.94323,1.41019,0.73595,0.68538,0.71825,0.38341,1.92265,1.38119,2.12323,0.000112896,0.000112896,0.000112896
163,5230.26,1.13463,0.93038,1.3832,0.71599,0.66376,0.7134,0.38221,1.93405,1.42254,2.14382,0.000110144,0.000110144,0.000110144
164,5260.37,1.18696,0.94902,1.3934,0.72261,0.67794,0.71601,0.37933,1.92824,1.38029,2.15447,0.000107391,0.000107391,0.000107391
165,5293.75,1.14078,0.91892,1.38918,0.69027,0.71611,0.72313,0.38434,1.9493,1.38991,2.17734,0.000104639,0.000104639,0.000104639
166,5325.71,1.15796,0.93429,1.38804,0.72005,0.71724,0.72206,0.38127,1.94599,1.37916,2.16915,0.000101887,0.000101887,0.000101887
167,5358.04,1.13532,0.92101,1.38266,0.72426,0.69476,0.72674,0.38558,1.9484,1.40978,2.17808,9.91348e-05,9.91348e-05,9.91348e-05
168,5394.45,1.15257,0.93645,1.38824,0.72553,0.69131,0.72894,0.3877,1.95472,1.38497,2.16919,9.63826e-05,9.63826e-05,9.63826e-05
169,5427.08,1.14702,0.92654,1.38891,0.74481,0.67037,0.72518,0.38743,1.93134,1.37436,2.17315,9.36304e-05,9.36304e-05,9.36304e-05
170,5461.15,1.15878,0.92952,1.38909,0.72242,0.70637,0.73554,0.39022,1.92489,1.38562,2.16151,9.08782e-05,9.08782e-05,9.08782e-05
171,5491.67,1.12813,0.92329,1.38148,0.70144,0.72038,0.72212,0.37947,1.94614,1.37941,2.17145,8.8126e-05,8.8126e-05,8.8126e-05
172,5525.89,1.13092,0.9209,1.37577,0.72587,0.71047,0.7315,0.38733,1.93063,1.36543,2.17309,8.53738e-05,8.53738e-05,8.53738e-05
173,5555.61,1.12003,0.91205,1.37228,0.72143,0.67929,0.7145,0.37975,1.93912,1.3866,2.15314,8.26216e-05,8.26216e-05,8.26216e-05
174,5589.92,1.13172,0.9057,1.36751,0.76227,0.6637,0.70948,0.38349,1.92439,1.37527,2.15614,7.98694e-05,7.98694e-05,7.98694e-05
